firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
ATV Associates,1987.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
AU21 Capital,2017.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
AUA Capital Management LLC,2012.1.1,PA,19428,Private Equity Firm,6160,IVC,1,
AUA Private Equity Partners LLC,2012.4.1,NY,10103,Private Equity Firm,5600,IVC,1,
AV Labs Inc,1999.10.31,TX,78701,Private Equity Firm,640,IVC,1,
AVANTALION LLC,2008.1.1,NY,11803,Private Equity Firm,5380,IVC,1,
AVX Partners LP,2015.1.1,TX,76102,Private Equity Firm,2800,IVC,1,
AWH Partners LLC,2010.1.1,NY,10018,Private Equity Firm,5600,IVC,1,
AXAVISION INC,1992.1.1,NY,10005,Private Equity Firm,5600,IVC,1,
AXXON CAPITAL L P,1999.8.1,MA,2110,Private Equity Advisor or Fund of Funds,1120,Financial,1,
AZ Digital Farm LLC,2010.1.1,AZ,85251,Private Equity Firm,6200,IVC,1,
Aarbor Industries Inc,1984.1.1,IL,60015,Private Equity Firm,1600,IVC,1,
Aarp Innovation Fund LP,2015.1.1,DC,20049,Corporate PE/Venture,8840,CVC,1,
Aarque Management Corp,1970.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
Aavin Equity Advisors LLC,1999.1.1,IA,52402,Private Equity Firm,1360,IVC,1,
Ab Initio Capital Gp LLC,2018.2.22,MA,2108,Investment Management Firm,1120,Financial,1,
Ab Sbic Inc,1976.11.17,CT,6410,SBIC,5480,Financial,1,
Abacus Capital Group LLC,2013.1.1,NY,10017,Private Equity Firm,5600,IVC,1,
Abacus Finance Group LLC,2019.1.1,NY,10017,Investment Management Firm,5600,Financial,1,
"Abacus Financial, LLC",2016.3.3,CA,90071,Investment Management Firm,4480,Financial,1,
Abacus Ventures,1999.1.1,CO,80304,Private Equity Firm,1125,IVC,1,
Abatis Capital LLC,2010.1.1,NY,10020,Investment Management Firm,5600,Financial,1,
Abbott Biotech Ventures Inc,2013.1.1,IL,60064,Corporate PE/Venture,1600,CVC,1,
Abbott Capital Management LLC,1986.6.1,NY,10104,Private Equity Advisor or Fund of Funds,5600,Financial,1,
Abbott Ventures Inc,2009.1.26,IL,60064,Corporate PE/Venture,1600,CVC,1,
Abc-Clio Inc,1999.1.1,CO,80222,Corporate PE/Venture,2080,CVC,1,
Abell Venture Fund,1998.1.1,MD,21202,Private Equity Firm,720,IVC,1,
Abenteuer Ventures,2018.4.30,CA,94025,Angel Group,7360,Angel,1,
Aberdare Ventures,1999.1.1,CA,94104,Private Equity Firm,7360,IVC,1,
Aberdeen Capital Management LLC,1994.11.1,CT,6902,Private Equity Advisor or Fund of Funds,8040,Financial,1,
Aberdeen Labs,2020.1.1,IL,60654,Private Equity Firm,1600,IVC,1,
"Aberlyn Capital Management Co., Inc.",1992.1.1,NJ,7751,Bank Affiliated,5190,Financial,1,
Abstract Ventures Spv LLC,2016.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
Abstraction Capital LP,2020.1.1,MO,64114,Private Equity Firm,3760,IVC,1,
Abstraction Ventures LLC,2011.1.11,LA,70118,Private Equity Firm,5560,IVC,1,
Abundance Partners LLC,2003.1.1,NY,10003,Private Equity Firm,5600,IVC,1,
Abundant Venture Partners LLC,2011.1.1,IL,60601,Incubator/Development Program,1600,Non-Financial,1,
Acacia Capital Inc,1990.1.1,NY,10022,Bank Affiliated,5600,Financial,1,
Acacia Group,2016.1.1,VA,22182,Investment Management Firm,8840,Financial,1,
Acacia Life Insurance Co,1977.12.27,DC,20001,Insurance Firm Affiliate,8840,Financial,1,
Acacia Partners LLC,2011.1.1,TX,78746,Private Equity Firm,640,IVC,1,
Acacia Venture Partners L.P,1995.1.1,MD,20817,Private Equity Firm,8840,IVC,1,
Academy Funds,1998.9.1,NC,27713,Private Equity Firm,6640,IVC,1,
Acadia Partners LP,1988.1.1,TX,76102,Private Equity Firm,2800,IVC,1,
Acadia Woods Partners LLC,2007.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
Acadian Ventures Fund I LP,2019.1.1,CT,6513,Private Equity Firm,5480,IVC,1,
Acartha Technology Partners LP,2005.1.1,MO,63105,Private Equity Firm,7040,IVC,1,
Acas LLC,1986.1.1,MD,20814,Private Equity Firm,8840,IVC,1,
Accel Partners & Co Inc,1983.1.1,CA,94301,Private Equity Firm,7400,IVC,1,
Accel-KKR,2000.2.29,CA,94025,Private Equity Firm,7360,IVC,1,
Accele BioPharma Inc,2011.3.23,OK,73104,Private Equity Firm,5880,IVC,1,
Accelerant Equity LLC,2016.3.23,GA,30067,Private Equity Firm,520,IVC,1,
Accelerant Fund I LP,2014.1.3,OH,45423,Private Equity Firm,2000,IVC,1,
Accelerant Ventures,2014.1.1,NY,10001,Incubator/Development Program,5600,Non-Financial,1,
Accelerate Long Island Inc,2011.11.15,NY,11747,Incubator/Development Program,5380,Non-Financial,1,
Accelerate-It Ventures Management LLC,2013.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
Accelerated Growth Partners,2002.1.1,VA,23226,Private Equity Firm,6760,IVC,1,
Accelerated Venture Partners LLC,2008.1.1,CA,94404,Private Equity Firm,7360,IVC,1,
Acceleration Resources LLC,2013.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
Accelerator Business Building Clinic (ABBC),2000.1.1,GA,30313,Incubator/Development Program,520,Non-Financial,1,
Accelerator Corp,2003.1.1,WA,98102,Incubator/Development Program,7600,Non-Financial,1,
Accelerator Venture Capital I LP,2008.1.2,CA,94123,Private Equity Firm,7360,IVC,1,
Accelfoods LLC,2013.1.1,NY,10017,Incubator/Development Program,5600,Non-Financial,1,
Accellius Capital,2018.1.1,WA,98101,Private Equity Firm,7600,IVC,1,
Accelmed Partners,2009.1.1,FL,33131,Private Equity Firm,5000,IVC,1,
Accelnest LLC,2021.6.29,DE,19720,Private Equity Firm,9160,IVC,1,
Accelon Capital LLC,2010.1.1,CA,94306,Private Equity Firm,7400,IVC,1,
Accelr8 Management LLC,2020.1.1,MA,2116,Private Equity Firm,1120,IVC,1,
Accent Capital,2002.1.1,TX,78746,Private Equity Firm,640,IVC,1,
Accenture Technology Ventures,1999.11.1,CA,94304,Investment Management Firm,7400,Financial,1,
Access Biotechnology Inc,2019.1.1,NY,10001,Corporate PE/Venture,5600,CVC,1,
Access BridgeGap Ventures,2011.12.19,MA,2142,Corporate PE/Venture,1120,CVC,1,
Access Holdings Management Company LLC,2013.1.1,MD,21202,Private Equity Firm,720,IVC,1,
Access Industries Inc,1986.1.1,NY,10019,Private Equity Firm,5600,IVC,1,
Access Insider,2020.1.1,NV,89135,Investment Management Firm,4120,Financial,1,
Access Management Services Inc,1995.1.1,CT,6880,Private Equity Firm,8040,IVC,1,
Access Private Capital,2018.1.1,GA,30092,Corporate PE/Venture,520,CVC,1,
Access Technology Ventures,1969.1.1,NY,10019,Corporate PE/Venture,5600,CVC,1,
Access Venture Partners,1999.1.1,CO,80031,Private Equity Firm,2080,IVC,1,
Access Ventures Inc,2013.1.1,KY,40206,SBIC,4520,Financial,1,
Accolade Capital Management LLC,2000.1.20,DC,20036,Private Equity Advisor or Fund of Funds,8840,Financial,1,
Accomplice Management LLC,2015.1.1,MA,2118,Private Equity Firm,1120,IVC,1,
Accord Group Holdings LLC,2013.1.1,CA,94108,Investment Management Firm,0,Financial,1,
Accordia Realty Ventures LLC,2005.1.1,NJ,7004,Investment Management Firm,5640,Financial,1,
Accretia Capital LLC,2012.1.1,PA,19102,Private Equity Firm,6160,IVC,1,
Accretive Capital Partners LLC,2000.1.1,CT,6443,Private Equity Advisor or Fund of Funds,5480,Financial,1,
Accretive LLC,1999.1.1,NY,10065,Private Equity Firm,5600,IVC,1,
Accretive Solutions Inc,2010.1.1,NY,11747,Private Equity Firm,5380,IVC,1,
Accrue Sports & Entertainment Ventures LLC,2008.2.25,NY,10018,Private Equity Firm,5600,IVC,1,
Accuitive Medical Ventures LLC,2003.1.1,GA,30097,Private Equity Firm,520,IVC,1,
Acequia Capital Management LLC,1969.1.1,WA,98122,Investment Management Firm,7600,Financial,1,
Acer Technology Ventures Asia Pacific,1998.1.1,CA,95054,Corporate PE/Venture,7400,CVC,1,
Acero Capital,2009.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
Acharya Capital Partners LLC,2020.1.1,NY,12207,Private Equity Firm,160,IVC,1,
Achieve Partners Management LLC,2018.11.20,NY,10018,Private Equity Firm,5600,IVC,1,
Aci Capital Co LLC,1995.1.1,NY,10171,Private Equity Firm,5600,IVC,1,
Acies Investments,2022.1.1,CA,90266,Private Equity Firm,4480,IVC,1,
Ackerley Partners LLC,1999.10.1,WA,98101,Private Equity Firm,7600,IVC,1,
Ackley Capital Corp,1984.1.1,NY,14472,Private Equity Firm,6840,IVC,1,
Acon Investments LLC,1996.2.13,DC,20036,Private Equity Firm,8840,IVC,1,
Acore Capital LP,2015.1.29,CA,94939,Private Equity Firm,7360,IVC,1,
Acorn Bioventures LP,2017.1.1,NY,10170,Private Equity Firm,5600,IVC,1,
Acorn Campus LLC,2018.1.1,CA,95051,Private Equity Firm,7400,IVC,1,
Acorn Campus Ventures Fund III LLC,2000.7.7,CA,95051,Private Equity Firm,7400,IVC,1,
Acorn Growth Companies LLC,2000.1.1,OK,73102,Private Equity Firm,5880,IVC,1,
Acorn Innovestments LLC,2010.12.7,NC,27701,Private Equity Firm,6640,IVC,1,
Acorn Pacific Ventures LLC,2017.1.1,CA,95051,Private Equity Firm,7400,IVC,1,
Acorn Technology Fund LP,1999.1.1,NJ,8543,Private Equity Firm,8480,IVC,1,
Acorn Ventures Inc,1986.1.1,CA,95131,Private Equity Firm,7400,IVC,1,
Acquired Wisdom Fund,2021.1.1,CA,94043,Private Equity Firm,7400,IVC,1,
Acquisition Funding Corp,1981.1.1,CT,6001,Bank Affiliated,3280,Financial,1,
Acquisition Search Corp,1992.5.1,GA,30342,Service Provider,520,Other,1,
Acre Venture Partners L.P,2016.1.1,CA,90049,Corporate PE/Venture,4480,CVC,1,
Acres Capital LLC,2018.1.1,NY,11590,Private Equity Firm,5380,IVC,1,
Acrewood Holdings LLC,2012.3.1,PA,19010,Investment Management Firm,6160,Financial,1,
Acrodyne Corp,1989.1.1,CO,80110,Corporate PE/Venture,2080,CVC,1,
Acronym Venture Capital LLC,2019.1.1,NY,10014,Private Equity Firm,5600,IVC,1,
Acrylic LLC,2021.1.1,NY,11211,Private Equity Firm,5600,IVC,1,
Act One Ventures LP,2016.1.1,CA,90401,Private Equity Firm,4480,IVC,1,
Actinic Ventures LLC,2011.1.1,NY,10016,Private Equity Firm,5600,IVC,1,
Action Potential Venture Capital Ltd,2013.1.1,MA,2142,Corporate PE/Venture,1120,CVC,1,
Actium Partners LLC,2004.1.1,UT,84111,Private Equity Firm,7160,IVC,1,
Activant Capital Group LLC,2013.1.1,CT,6830,Private Equity Firm,8040,IVC,1,
Activate Capital Partners LP,2017.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
Activate Renewables LLC,2021.1.1,TX,75024,Private Equity Firm,1920,IVC,1,
Active Health Management Inc,2002.1.1,NY,10016,Corporate PE/Venture,5600,CVC,1,
Active Venture Partners LLC,2017.7.28,TX,78205,Private Equity Firm,7240,IVC,1,
Activus Capital Partners LLC,2020.1.1,TX,78722,Private Equity Firm,640,IVC,1,
Actua Corp,1996.3.1,PA,19087,Corporate PE/Venture,6160,CVC,1,
Actuate Corp,2000.1.1,CA,94080,Private Equity Firm,7360,IVC,1,
Acuity Capital Partners LLC,2015.1.1,IL,60601,Private Equity Firm,1600,IVC,1,
Acuity Ventures LLC,1999.1.1,CA,95126,Private Equity Firm,7400,IVC,1,
Acumen Fund Inc,2001.4.1,NY,10013,Private Equity Firm,5600,IVC,1,
Acuta Capital Partners LLC,1969.1.1,CA,94002,Private Equity Firm,7360,IVC,1,
Ad Astra Ventures,2018.1.1,CA,92075,Corporate PE/Venture,7320,CVC,1,
Adage Capital Partners LLC,1969.1.1,MA,2116,Private Equity Firm,1120,IVC,1,
Adams Capital Management LP,1994.1.1,PA,15143,Private Equity Firm,6280,IVC,1,
Adams Street Partners LLC,1972.1.1,IL,60606,Private Equity Firm,1600,IVC,1,
Adams and Reese LLP,1993.1.1,LA,70803,Incubator/Development Program,760,Non-Financial,1,
Adapt Ventures,2020.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
Adaptive Healthcare LLC,2015.1.1,CA,90064,Private Equity Firm,4480,IVC,1,
Adaro Trust,1997.1.1,UN,NA,Bank Affiliated,0,Financial,1,
Adasel Global Partners LLC,2017.2.14,MD,20817,Private Equity Firm,8840,IVC,1,
Addison Capital Partners LLC,2008.1.1,FL,33401,Private Equity Firm,8960,IVC,1,
Addison Clark Management LLC,2002.1.1,CT,6890,Private Equity Firm,1160,IVC,1,
Addition Ventures LLC,2020.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
AdeNA Ventures LP,2002.4.30,OH,45701,Private Equity Firm,0,IVC,1,
Adelante Capital Management LLC,1996.1.1,CA,94607,Private Equity Firm,5775,IVC,1,
Adelphi Partners Inc,1984.1.1,UN,NA,Private Equity Firm,0,IVC,1,
Adelphia Communications Corp,2004.1.1,PA,16915,Private Equity Firm,0,IVC,1,
Adelson Investors LLC,2002.1.1,UN,NA,Other,0,Other,1,
Adero Inc,2002.1.1,MA,2451,Corporate PE/Venture,1120,CVC,1,
Adirondack Venture Fund L P,2002.1.1,NY,12946,Private Equity Firm,0,IVC,1,
Adit Ventures LLC,2014.1.1,NY,10105,Private Equity Firm,5600,IVC,1,
Aditum Bio Management Co LLC,2019.2.1,CA,94607,Investment Management Firm,5775,Financial,1,
Adjacent Capital LP,2021.1.1,NY,10003,Private Equity Firm,5600,IVC,1,
Adjuvant Capital LLC,2012.1.1,NY,10017,Private Equity Firm,5600,IVC,1,
Adler & Company Inc,1965.1.1,NY,10173,Private Equity Firm,5600,IVC,1,
Adler Real Estate Partners LLC,2012.7.31,FL,33131,Private Equity Firm,5000,IVC,1,
Adm Ventures,2018.1.1,IL,60601,Corporate PE/Venture,1600,CVC,1,
Admiral Capital Corp,2010.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
Admiral Capital Group LLC,2008.2.1,NY,10017,Private Equity Firm,5600,IVC,1,
Admiralty Partners Inc,1992.1.1,CA,90025,Private Equity Firm,4480,IVC,1,
Adobe Inc,1982.12.1,CA,95110,Corporate PE/Venture,7400,CVC,1,
Adobe Resources Corp,1993.1.1,NY,10038,Private Equity Firm,5600,IVC,1,
Adp Inc,1998.1.1,NJ,7068,Corporate PE/Venture,5640,CVC,1,
Adval L.P.,1986.1.1,UN,NA,Private Equity Firm,0,IVC,1,
Advance Internet Inc,1999.1.1,NJ,7306,Corporate PE/Venture,3640,CVC,1,
Advance Publications Inc,1996.1.1,NY,10305,Corporate PE/Venture,5600,CVC,1,
Advance Vixeid Capital Management LLC,2014.7.10,CA,94108,Private Equity Firm,7360,IVC,1,
Advanced Digital Information Corp,1997.1.1,WA,98052,Corporate PE/Venture,7600,CVC,1,
Advanced Equities Inc,1999.8.1,IL,60606,Corporate PE/Venture,1600,CVC,1,
Advanced Fibre Communications Inc,1995.1.1,CA,94954,Corporate PE/Venture,7500,CVC,1,
Advanced Health Services,1993.1.1,NY,10591,Corporate PE/Venture,5600,CVC,1,
Advanced Infrastructure Ventures LLC,2000.1.1,CT,6870,Private Equity Firm,8040,IVC,1,
Advanced Materials Partners Inc,1987.1.1,CT,6840,Private Equity Firm,8040,IVC,1,
Advanced Technology Center of Southeastern Pennsylvania,1985.1.1,PA,15001,Incubator/Development Program,6280,Non-Financial,1,
Advanced Technology Development Center,1980.1.1,GA,30308,Government Affiliated Program,520,Non-Financial,1,
Advanced Technology Development Fund,1983.5.1,GA,30328,Private Equity Firm,520,IVC,1,
Advanced Technology Ventures,1979.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
Advancedstage Capital LLC,2013.8.29,FL,34110,Private Equity Firm,5345,IVC,1,
Advancit Capital LLC,2011.1.1,MA,2062,Private Equity Firm,1120,IVC,1,
Advanta Growth Capital  LP,2000.6.1,PA,19477,Corporate PE/Venture,6160,CVC,1,
Advanta Partners LP,1994.12.1,PA,19477,Corporate PE/Venture,6160,CVC,1,
Advantage Capital Partners,1992.1.1,LA,70112,Private Equity Firm,5560,IVC,1,
Advantage Venture Partners LLC,2000.1.1,FL,32750,Private Equity Firm,5960,IVC,1,
Advantage Ventures,2018.1.1,CA,90401,Private Equity Firm,4480,IVC,1,
Advanzeon Solutions Inc,1985.1.1,MO,63017,Corporate PE/Venture,7040,CVC,1,
Advect Group LLC,2010.1.1,NY,10174,Private Equity Firm,5600,IVC,1,
Advection Growth Capital LLC,2018.1.1,NY,10001,Bank Affiliated,5600,Financial,1,
Advenir LLC,1996.1.1,FL,33160,Investment Management Firm,5000,Financial,1,
Advent International Corp,1984.1.1,MA,2199,Private Equity Firm,1120,IVC,1,
Advent-Morro Equity Partners Inc,1989.1.1,PR,902,Private Equity Firm,7440,IVC,1,
Adventure Capital Corp,1993.1.1,FL,33137,Service Provider,5000,Other,1,
Adventure Capital LLC,2000.3.14,NY,10001,Private Equity Firm,5600,IVC,1,
Adventure Funds LLC,2007.1.1,OR,97282,Private Equity Firm,6440,IVC,1,
Adventures LP,1983.1.1,UN,NA,Private Equity Firm,0,IVC,1,
Adventurous Journeys LLC,2008.1.1,TN,37203,Private Equity Firm,5360,IVC,1,
Adventus Ventures LLC,2017.7.14,CA,92604,Private Equity Firm,5945,IVC,1,
Advest Corporate Finance,1984.1.1,MA,2110,Service Provider,1120,Other,1,
Advest Inc,1984.1.1,CT,6103,Private Equity Firm,3280,IVC,1,
Advisors.Fund LLC,2018.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
Advisory Capital Partners LLC,1993.1.1,CT,6001,Private Equity Firm,3280,IVC,1,
Advocate Aurora Enterprises,2021.1.1,WI,53204,Corporate PE/Venture,5080,CVC,1,
Aecom Capital Inc,2013.1.31,CA,90067,Private Equity Firm,4480,IVC,1,
Aegis Capital Group LLC,2005.1.1,NY,10105,Private Equity Firm,5600,IVC,1,
Aegis Investment Resources,2002.1.1,UN,NA,Other,0,Other,1,
Aegis Venture Funds,1983.3.1,MA,1773,Private Equity Firm,1120,IVC,1,
Aegis Ventures,2020.1.1,NY,10016,Private Equity Firm,5600,IVC,1,
Aeneas Venture Corp,1974.1.1,MA,2110,University Program,1120,Non-Financial,1,
Aeon Ventures Inc,2010.1.1,CA,90405,Incubator/Development Program,4480,Non-Financial,1,
Aeonic Partners LLC,2019.1.1,NY,10155,Private Equity Firm,5600,IVC,1,
Aequitas Capital Management Inc,1993.1.1,OR,97035,Investment Management Firm,6440,Financial,1,
Aequitos Capital Management LLC,2011.1.1,TX,76011,Private Equity Firm,2800,IVC,1,
Aero Capital Solutions Inc,2010.1.1,TX,78746,Private Equity Firm,640,IVC,1,
Aerostar Capital LLC,1997.1.1,WY,83014,Private Equity Firm,0,IVC,1,
Aestus Capital,2021.1.1,CA,94143,Investment Management Firm,7360,Financial,1,
AetNA Casualty And Surety Co,1983.1.1,CT,6001,Insurance Firm Affiliate,3280,Financial,1,
AetNA Services Inc,1969.1.1,CT,6156,Insurance Firm Affiliate,3280,Financial,1,
Aeternum Capital LLC,2019.1.1,FL,33701,Investment Management Firm,8280,Financial,1,
Aether Investment Partners LLC,2008.6.26,CO,80202,Private Equity Advisor or Fund of Funds,2080,Financial,1,
Aether Systems Capital,1996.1.1,MD,21202,Corporate PE/Venture,720,CVC,1,
Aethon Energy Management LLC,1990.1.1,TX,75251,Private Equity Firm,1920,IVC,1,
Aetna Jacobs & Ramo,1984.1.1,CT,6156,Private Equity Firm,3280,IVC,1,
"Aetna Ventures, LLC",2017.1.1,CT,6156,Corporate PE/Venture,3280,CVC,1,
Aetos Capital LP,2001.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
Affinity Capital Management Co,1993.1.1,MN,55402,Private Equity Firm,5120,IVC,1,
Affymetrix Inc,1992.1.1,CA,95051,Corporate PE/Venture,7400,CVC,1,
Aflac Global Ventures LLC,2017.1.1,GA,31999,Corporate PE/Venture,1800,CVC,1,
Afore Capital LP,2016.1.1,CA,94102,Private Equity Firm,7360,IVC,1,
Africa Group LLC,2009.1.1,DC,20007,Private Equity Firm,8840,IVC,1,
African Growth Fund,1989.1.1,CT,6106,Private Equity Firm,3280,IVC,1,
Africap LLC,1999.1.1,TX,77024,Investment Management Firm,3360,Financial,1,
Afriglocal Venture Capital LLC,2022.1.1,MD,21044,Private Equity Firm,720,IVC,1,
AgFunder Inc,2014.1.1,CA,94103,Private Equity Firm,7360,IVC,1,
AgTech Accelerator Corp,2017.1.1,NC,27709,Incubator/Development Program,6640,Non-Financial,1,
Agate Power LLC,2017.1.1,NY,10022,Corporate PE/Venture,5600,CVC,1,
Agave Capital LP,1999.1.1,TX,78613,Private Equity Firm,640,IVC,1,
Agemo Management LP,2020.1.1,MA,1803,Private Equity Firm,1120,IVC,1,
Agenda Capital Partners LLC,2005.1.1,CA,94129,Private Equity Firm,7360,IVC,1,
Agent Capital LLC,2016.1.1,MA,2451,Private Equity Firm,1120,IVC,1,
Aggie Angel Network Inc,2010.1.1,TX,77845,Angel Group,1260,Angel,1,
"Aggregate Capital Partners, LLC",1998.1.1,VT,5672,Private Equity Firm,0,IVC,1,
Agi Capital Group Inc,1988.1.1,CA,94104,Investment Management Firm,7360,Financial,1,
Agile Capital Partners LP,1969.1.1,CA,94920,Private Equity Firm,7360,IVC,1,
Agile Venture Capital LLC,2016.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
Agilent Ventures,2000.6.1,CA,95051,Corporate PE/Venture,7400,CVC,1,
Agilera Inc,2002.1.1,CO,80112,Corporate PE/Venture,2080,CVC,1,
Agilis Equity Partners LLC,1969.1.1,NC,27106,Private Equity Firm,3120,IVC,1,
Agility Capital Inc,2000.1.1,CA,93101,Private Equity Firm,7480,IVC,1,
Agio Capital Partners I LP,1996.1.1,MN,55343,SBIC,5120,Financial,1,
Agnew Co,1969.1.1,WA,98662,Investment Management Firm,6440,Financial,1,
Agora Realty & Management Inc,2022.1.1,CA,91302,Private Equity Firm,4480,IVC,1,
Agora Realty Advisors LLC,2015.1.1,CA,92653,Investment Management Firm,5945,Financial,1,
Agr Partners Advisors LLC,2012.8.24,CA,95616,Private Equity Firm,9270,IVC,1,
Agrarian Capital  LLC,2004.1.1,IL,61822,Private Equity Firm,1400,IVC,1,
Agribusiness Management Co,1995.1.1,NE,68102,Investment Management Firm,5920,Financial,1,
Agriculture Capital Management LLC,2012.5.3,OR,97209,Private Equity Firm,6440,IVC,1,
Agritech Capital Inc,2020.1.1,NC,28411,Private Equity Firm,9200,IVC,1,
Agya Ventures LLC,2020.1.1,NY,10022,Investment Management Firm,5600,Financial,1,
Ahimsa Capital Corp,2017.1.1,NY,10001,Private Equity Firm,5600,IVC,1,
Ahoy Capital Management LLC,2018.9.27,CA,94301,Private Equity Advisor or Fund of Funds,7400,Financial,1,
Ahv Holding Company LLC,2001.7.12,MO,63105,Corporate PE/Venture,7040,CVC,1,
Ai International Corp,1992.1.1,UN,NA,Private Equity Firm,0,IVC,1,
Ai8 Ventures II LP,2015.1.1,CA,94105,Private Equity Firm,7360,IVC,1,
AiSprouts VC,2019.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
Aiglon Capital Management LLC,2014.1.24,NC,27707,Private Equity Firm,6640,IVC,1,
Aiim Partners LP,2018.2.27,CA,94025,Private Equity Firm,7360,IVC,1,
Aimpera Capital Partners LLC,2020.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
Aimtop Advisors LLC,2018.1.1,CA,94301,Private Equity Firm,7400,IVC,1,
Ainge Advisory LLC,2020.1.1,UT,84043,Investment Management Firm,6520,Financial,1,
Airangels,2020.1.1,CA,94133,Private Equity Firm,7360,IVC,1,
Airbus Group SE,2015.1.1,CA,94025,Corporate PE/Venture,7360,CVC,1,
Airclic Inc,2002.1.1,PA,19422,Corporate PE/Venture,6160,CVC,1,
Airstream Venture Partners,1969.1.1,DC,20001,Private Equity Firm,8840,IVC,1,
Airwing Ventures,2021.1.1,CA,91101,Private Equity Firm,4480,IVC,1,
Aisling Capital LLC,2000.1.1,NY,10106,Private Equity Firm,5600,IVC,1,
Ajax Health LLC,2017.4.5,CA,94025,Private Equity Firm,7360,IVC,1,
Ajax Strategies LLC,2014.11.18,CA,94101,Private Equity Firm,7360,IVC,1,
Ajim Capital,2022.1.1,TX,73301,Private Equity Firm,640,IVC,1,
Akansa Capital,2009.1.1,UN,NA,Private Equity Firm,0,IVC,1,
Akayi Capital Partners LLC,2010.1.1,NY,10020,Private Equity Firm,5600,IVC,1,
Akcess Pacific Group LLC,2004.1.1,CA,92122,Private Equity Firm,7320,IVC,1,
Akers Capital LLC,1999.9.1,CA,95628,Private Equity Firm,6920,IVC,1,
Akers Waterman & Co,1999.1.1,CA,95628,Corporate PE/Venture,6920,CVC,1,
Akkadian Ventures LLC,2010.1.1,CA,94133,Private Equity Firm,7360,IVC,1,
Akmazo Capital,2021.1.1,MA,1752,Private Equity Firm,1120,IVC,1,
Akoya Capital Partners LLC,2005.1.1,IL,60611,Private Equity Firm,1600,IVC,1,
Aksarben Innovation Initiative,2014.1.1,NE,68106,Incubator/Development Program,5920,Non-Financial,1,
Alabama Capital Network,2022.1.1,AL,35203,Incubator/Development Program,1000,Non-Financial,1,
Alabama Futures Fund LP,2018.1.1,AL,35203,Private Equity Firm,1000,IVC,1,
Alabama Small Business Investment Co,1988.4.5,AL,35203,Private Equity Firm,1000,IVC,1,
Alabaster Capital LLC,2018.1.1,NH,3079,Private Equity Firm,4160,IVC,1,
Alacon Ventures LLC,2007.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
