firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
ACTAI Ventures,1969.1.1,CA,94301,Private Equity Firm,7400,IVC,1,
ACVC Management LLC,2020.1.1,CA,94303,Private Equity Firm,7360,IVC,1,
ADC Ventures,2000.1.1,MN,55440,Corporate PE/Venture,5120,CVC,1,
ADLER & SHAYKIN,1983.1.1,NY,10111,Private Equity Firm,5600,IVC,1,
ADMIRAL CAPITAL ENTERPRISES,1993.5.1,PA,19046,Bank Affiliated,6160,Financial,1,
AE Industrial Partners LP,1998.1.1,FL,33431,Private Equity Firm,8960,IVC,1,
AEA Investors LP,1968.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
AEGIS LLC,2015.1.1,CT,6901,Private Equity Firm,8040,IVC,1,
AEW Capital Management LP,1981.1.1,MA,2210,Private Equity Firm,1120,IVC,1,
AFI Capital Partners Fund I LP,2018.1.1,WA,98122,Private Equity Firm,7600,IVC,1,
AFI Partners LLC,2018.1.1,NY,10012,Private Equity Firm,5600,IVC,1,
AFLG Investments Private Equity,2009.1.1,FL,33607,Private Equity Firm,8280,IVC,1,
AFRICAN-AMERICAN VENTURE CAPIT,1994.1.1,KY,40003,Private Equity Firm,0,IVC,1,
AFV Partners LLC,2020.1.1,TX,75201,Private Equity Firm,1920,IVC,1,
AG BD LLC,1988.1.1,NY,10167,Private Equity Firm,5600,IVC,1,
AG Startup Engine Manager LLC,2015.1.1,IA,50010,Incubator/Development Program,0,Non-Financial,1,
AG Ventures Inc,2021.1.1,NY,11201,Corporate PE/Venture,5600,CVC,1,
AH Ventures LLC,1969.1.1,MA,2110,Bank Affiliated,1120,Financial,1,
AHA Innovation Development Fund LP,2019.1.1,IL,60606,Corporate PE/Venture,1600,CVC,1,
AHR Growth Partners LLC,2018.1.1,IL,60607,Private Equity Firm,1600,IVC,1,
AI Capital LLC,2015.1.1,CO,80134,Private Equity Firm,2080,IVC,1,
AI Fund LP,2017.6.16,CA,94306,Private Equity Firm,7400,IVC,1,
AI List Management LLC,2017.1.1,CA,94402,Private Equity Firm,7360,IVC,1,
AI@The House,2018.1.1,CA,94704,Incubator/Development Program,5775,Non-Financial,1,
AIC Ventures LLC,1990.1.1,TX,75206,Investment Management Firm,1920,Financial,1,
AIG Capital Partners Inc,1996.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
